File Path,orginal_sequence,steps,time_spent,Extra_Steps,num_R,num_T,modified_sequence
Puzzles/SelectionF15/puzzle_1/student_11,VVOIOTIFPOPEPOPTS,16,438,0,0,2,VVOIOTIFPOPEPOPT
Puzzles/SelectionF15/puzzle_1/student_29,VVPOIFRROPIOTTEPPOSRRRS,21,218,5,5,2,VVPOIFRROPIOTTEPPORRR
Puzzles/SelectionF15/puzzle_1/student_18,VVOIOIFPOPEPOPTTS,16,104,0,0,2,VVOIOIFPOPEPOPTT
Puzzles/SelectionF15/puzzle_1/student_27,VVTOOFPPPPIRRIRROOETS,20,108,4,4,2,VVTOOFPPPPIRRIRROOET
Puzzles/SelectionF15/puzzle_1/student_87,IRRVViTIFOPPEPOPROOTTS,21,689,5,3,3,IRRVVTIFOPPEPOPROOTT
Puzzles/SelectionF15/puzzle_1/student_74,VVOIOIFPTOPEPTOPS,16,215,0,0,2,VVOIOIFPTOPEPTOP
Puzzles/SelectionF15/puzzle_1/student_42,VVTOIORRTIFOPPEPOPS,18,262,2,2,2,VVTOIORRTIFOPPEPOP
Puzzles/SelectionF15/puzzle_1/student_89,VVOIOIFOPRPEOPPTTS,17,65,1,1,2,VVOIOIFOPRPEOPPTT
Puzzles/SelectionF15/puzzle_1/student_19,VVOIOIFPOPEPOPTTS,16,103,0,0,2,VVOIOIFPOPEPOPTT
Puzzles/SelectionF15/puzzle_1/student_102,VVRRoIOIFPOPEPOPTTSRROTS,22,171,6,4,3,VVRRIOIFPOPEPOPTTRROT
Puzzles/SelectionF15/puzzle_1/student_105,VVOIOIFPOPEPOPTTS,16,109,0,0,2,VVOIOIFPOPEPOPTT
Puzzles/SelectionF15/puzzle_1/student_28,VIOVFOIoORREPTTPPRTOSRSRRSRRSSSPS,26,488,10,8,3,VIOVFOIORREPTTPPRTORRRRRP
Puzzles/SelectionF15/puzzle_1/student_17,VVOIOIFPOPEPOPTTS,16,149,0,0,2,VVOIOIFPOPEPOPTT
Puzzles/SelectionF15/puzzle_1/student_10,IVOTfRVRPRROIFOROPEPPTS,22,313,6,5,2,IVOTRVRPRROIFOROPEPPT
Puzzles/SelectionF15/puzzle_1/student_43,VVOIOOTTIRRFPOPPEPSRSRRRRS,23,218,7,7,2,VVOIOOTTIRRFPOPPEPRRRRR
Puzzles/SelectionF15/puzzle_1/student_88,PRRPOeOOROFPPVVTTIISRESRTS,23,559,7,5,3,PRRPOOOROFPPVVTTIIRERT
Puzzles/SelectionF15/puzzle_1/student_75,VVOIOIFPOPEPOPTTS,16,135,0,0,2,VVOIOIFPOPEPOPTT
Puzzles/SelectionF15/puzzle_1/student_72,VTVOIOIFPPORPEOPRTS,18,184,2,2,2,VTVOIOIFPPORPEOPRT
Puzzles/SelectionF15/puzzle_1/student_86,VVOIOIFOeOPPTPTPRSTSRRSRSTSRSRSTSTSRSRSRSRSRSRETSRSRSTSTS,38,965,22,14,9,VVOIOIFOOPPTPTPRTRRRTRRTTRRRRRRETRRTT
Puzzles/SelectionF15/puzzle_1/student_3,IIFPPPPOOVRVTETOOS,17,159,1,1,2,IIFPPPPOOVRVTETOO
Puzzles/SelectionF15/puzzle_1/student_2,VVOTIOTIFPOPEPOPS,16,115,0,0,2,VVOTIOTIFPOPEPOP
Puzzles/SelectionF15/puzzle_1/student_5,VVRRIIOROFoPEPOPPTTSTOS,21,328,5,3,3,VVRRIIOROFPEPOPPTTTO
Puzzles/SelectionF15/puzzle_1/student_50,TVIVIoOOFOETRROPPRRPPSRRS,23,253,7,6,2,TVIVIOOFOETRROPPRRPPRR
Puzzles/SelectionF15/puzzle_1/student_57,TVVOITOIFPOPEPOPS,16,105,0,0,2,TVVOITOIFPOPEPOP
Puzzles/SelectionF15/puzzle_1/student_95,VVOOOOFPRPREPRRRPIITTS,21,134,5,5,2,VVOOOOFPRPREPRRRPIITT
Puzzles/SelectionF15/puzzle_1/student_61,VVTOTIOIFPOPEPOPS,16,117,0,0,2,VVTOTIOIFPOPEPOP
Puzzles/SelectionF15/puzzle_1/student_59,IRVVOROPRIFROPEPOPTTS,20,127,4,4,2,IRVVOROPRIFROPEPOPTT
Puzzles/SelectionF15/puzzle_1/student_66,VVIOOIFPOPEPORRPTTS,18,161,2,2,2,VVIOOIFPOPEPORRPTT
Puzzles/SelectionF15/puzzle_1/student_111,VVTOIRROTIFOPPEPOPS,18,196,2,2,2,VVTOIRROTIFOPPEPOP
Puzzles/SelectionF15/puzzle_1/student_58,oRRVTVOIOIFPOPEPOPTS,19,132,3,2,2,RRVTVOIOIFPOPEPOPT
Puzzles/SelectionF15/puzzle_1/student_93,TViRIVFPOPEPRPIOOOSRRTSRRS,23,375,7,6,2,TVRIVFPOPEPRPIOOORRTRR
Puzzles/SelectionF15/puzzle_1/student_60,VVOITOIFPOPEPOPTS,16,88,0,0,2,VVOITOIFPOPEPOPT
Puzzles/SelectionF15/puzzle_1/student_94,VVOIOIRFOEOPPPPTTS,17,123,1,1,2,VVOIOIRFOEOPPPPTT
Puzzles/SelectionF15/puzzle_1/student_56,VVTOIOIFPOPEOPPTSRRS,18,183,2,2,2,VVTOIOIFPOPEOPPTRR
Puzzles/SelectionF15/puzzle_1/student_51,VVOIOIFTTOEOPPPPS,16,114,0,0,2,VVOIOIFTTOEOPPPP
Puzzles/SelectionF15/puzzle_1/student_34,IVORRVOEIRFPOPRPOPTTS,20,419,4,4,2,IVORRVOEIRFPOPRPOPTT
Puzzles/SelectionF15/puzzle_1/student_110,VVOIRROITTFPOPEPOPS,18,165,2,2,2,VVOIRROITTFPOPEPOP
Puzzles/SelectionF15/puzzle_1/student_33,VVOIOIFPOPEPOPTTS,16,98,0,0,2,VVOIOIFPOPEPOPTT
Puzzles/SelectionF15/puzzle_1/student_77,TVVOIOROIFPOPTERRRPTPS,21,96,5,4,3,TVVOIOROIFPOPTERRRPTP
Puzzles/SelectionF15/puzzle_1/student_48,VVOIOIFPORRROEPRRPPTTS,21,364,5,5,2,VVOIOIFPORRROEPRRPPTT
Puzzles/SelectionF15/puzzle_1/student_46,VVOTIOIFPORPEOPPTS,17,147,1,1,2,VVOTIOIFPORPEOPPT
Puzzles/SelectionF15/puzzle_1/student_79,VVTOIOiFPORRPEPOITPS,19,153,3,2,2,VVTOIOFPORRPEPOITP
Puzzles/SelectionF15/puzzle_1/student_41,VVOIOIFOPEOPPTTTSPS,17,262,1,0,3,VVOIOIFOPEOPPTTTP
Puzzles/SelectionF15/puzzle_1/student_12,VTVOTIOIFPOPEPOPS,16,105,0,0,2,VTVOTIOIFPOPEPOP
Puzzles/SelectionF15/puzzle_1/student_100,IOROOIRRRRRRRVVRRFPRRRPREPOPRRTTS,32,214,16,16,2,IOROOIRRRRRRRVVRRFPRRRPREPOPRRTT
Puzzles/SelectionF15/puzzle_1/student_40,VVTOIOIFPOPEPfTRRTOPSRS,21,337,5,3,3,VVTOIOIFPOPEPTRRTOPR
Puzzles/SelectionF15/puzzle_1/student_47,VVOIOIFPOPEPOPTTS,16,406,0,0,2,VVOIOIFPOPEPOPTT
Puzzles/SelectionF15/puzzle_1/student_78,TTIIOOVVFPOPEPOPS,16,66,0,0,2,TTIIOOVVFPOPEPOP
Puzzles/SelectionF15/puzzle_1/student_85,VVOIRROITFPOPEPOfTPS,19,347,3,2,2,VVOIRROITFPOPEPOTP
Puzzles/SelectionF15/puzzle_1/student_76,VVOITTORTIFPRROEPROPPTS,22,185,6,4,4,VVOITTORTIFPRROEPROPPT
Puzzles/SelectionF15/puzzle_1/student_49,VVTOIOIFPOPEPOPTS,16,114,0,0,2,VVTOIOIFPOPEPOPT
Puzzles/SelectionF15/puzzle_1/student_101,VVOIOIFPOPEPOPTTS,16,87,0,0,2,VVOIOIFPOPEPOPTT
Puzzles/SelectionF15/puzzle_1/student_108,ORVVROIIFOEOPPRPPTTS,19,152,3,3,2,ORVVROIIFOEOPPRPPTT
Puzzles/SelectionF15/puzzle_1/student_13,VVOIOIFOEOPRPPTTPS,17,147,1,1,2,VVOIOIFOEOPRPPTTP
Puzzles/SelectionF15/puzzle_1/student_14,VVOIOIFOPPEOPPTTSRSRS,18,114,2,2,2,VVOIOIFOPPEOPPTTRR
Puzzles/SelectionF15/puzzle_1/student_9,VVOIIOFPOPEPOPRTTS,17,342,1,1,2,VVOIIOFPOPEPOPRTT
Puzzles/SelectionF15/puzzle_1/student_6,VRVORRIOIFPOPEPOPTTS,19,142,3,3,2,VRVORRIOIFPOPEPOPTT
Puzzles/SelectionF15/puzzle_1/student_1,TVVOIIOFRROTEOPRPPPRRS,21,163,5,5,2,TVVOIIOFRROTEOPRPPPRR
Puzzles/SelectionF15/puzzle_1/student_8,VVoIOTOIFOOEPPPPTS,17,301,1,0,2,VVIOTOIFOOEPPPPT
Puzzles/SelectionF15/puzzle_1/student_112,TVRRVOOIIRFPiTOPEPOPS,20,159,4,3,2,TVRRVOOIIRFPTOPEPOP
Puzzles/SelectionF15/puzzle_1/student_36,VVOIOIFPOPEPOPTTS,16,845,0,0,2,VVOIOIFPOPEPOPTT
Puzzles/SelectionF15/puzzle_1/student_38,VVOOITTIFPOPEPOPS,16,128,0,0,2,VVOOITTIFPOPEPOP
Puzzles/SelectionF15/puzzle_1/student_65,VVTFIIOOOEROPPPPTSRS,18,100,2,2,2,VVTFIIOOOEROPPPPTR
Puzzles/SelectionF15/puzzle_1/student_91,TVVFOPEOPTIRRTOIROPSRSPS,21,141,5,4,3,TVVFOPEOPTIRRTOIROPRP
Puzzles/SelectionF15/puzzle_1/student_96,VVOITOIFOPPPEOTPSTRSTSRRRRRS,24,281,8,6,4,VVOITOIFOPPPEOTPTRTRRRRR
Puzzles/SelectionF15/puzzle_1/student_62,VVOOTITIFPOPEPOPS,16,80,0,0,2,VVOOTITIFPOPEPOP
Puzzles/SelectionF15/puzzle_1/student_39,VVROOIRIFPOPEPOPRTTS,19,92,3,3,2,VVROOIRIFPOPEPOPRTT
Puzzles/SelectionF15/puzzle_1/student_114,VVOIOITFPOTPEPOPS,16,81,0,0,2,VVOIOITFPOTPEPOP
Puzzles/SelectionF15/puzzle_1/student_30,VVOTIOIfPOPEPTFOPSRRS,19,169,3,2,2,VVOTIOIPOPEPTFOPRR
Puzzles/SelectionF15/puzzle_1/student_37,VVTORRIOIFPOPEPOPTS,18,294,2,2,2,VVTORRIOIFPOPEPOPT
Puzzles/SelectionF15/puzzle_1/student_113,VVOOiTIIRRRRRRFPROOPEPRPTS,25,163,9,8,2,VVOOTIIRRRRRRFPROOPEPRPT
Puzzles/SelectionF15/puzzle_1/student_63,VVRRROEOFPROROIITTTPPRPRRRS,26,221,10,9,3,VVRRROEOFPROROIITTTPPRPRRR
Puzzles/SelectionF15/puzzle_1/student_97,VVIIFPOOOEOPTTTPRPRRS,20,938,4,3,3,VVIIFPOOOEOPTTTPRPRR
Puzzles/SelectionF15/puzzle_1/student_90,TTVVOORRIIOOFPRREPPPSRRSRRRRRRRRRRRSRRRRSRS,38,528,22,22,2,TTVVOORRIIOOFPRREPPPRRRRRRRRRRRRRRRRRR
Puzzles/SelectionF15/puzzle_1/student_64,VVOOIIfORFTPPEPOPTS,18,110,2,1,2,VVOOIIORFTPPEPOPT
Puzzles/SelectionF15/puzzle_1/student_52,TTOOVVIIFOPPEOPPS,16,103,0,0,2,TTOOVVIIFOPPEOPP
Puzzles/SelectionF15/puzzle_1/student_55,VVOIOIFPOPRRRePOREPTTS,21,159,5,4,2,VVOIOIFPOPRRRPOREPTT
Puzzles/SelectionS16/puzzle_1/student_135,VTVTOOIIFPOPEPOPS,16,89,0,0,2,VTVTOOIIFPOPEPOP
Puzzles/SelectionS16/puzzle_1/student_11,VVTOITOIPFOPPEOPSRRRRS,20,143,4,4,2,VVTOITOIPFOPPEOPRRRR
Puzzles/SelectionS16/puzzle_1/student_29,VVTOIOiFPOPPEROPTSITS,19,196,3,1,3,VVTOIOFPOPPEROPTIT
Puzzles/SelectionS16/puzzle_1/student_16,OROTiVTRVIIFPOPEPOPS,19,77,3,2,2,OROTVTRVIIFPOPEPOP
Puzzles/SelectionS16/puzzle_1/student_132,TRVVRRRRIIOoTFPOPEPOPTSRSRSRSRRRRRSTOSRRRRRRRRRRS,42,472,26,23,4,TRVVRRRRIIOTFPOPEPOPTRRRRRRRRTORRRRRRRRRR
Puzzles/SelectionS16/puzzle_1/student_20,VVIIFPOOOPEPORPTTSRRRRS,21,176,5,5,2,VVIIFPOOOPEPORPTTRRRR
Puzzles/SelectionS16/puzzle_1/student_104,VVTTOIOIFPOPEPOPS,16,287,0,0,2,VVTTOIOIFPOPEPOP
Puzzles/SelectionS16/puzzle_1/student_18,VTVPIIFOEPOPPRROTOS,18,347,2,2,2,VTVPIIFOEPOPPRROTO
Puzzles/SelectionS16/puzzle_1/student_103,VVOIOIFPOPTEPOPTS,16,111,0,0,2,VVOIOIFPOPTEPOPT
Puzzles/SelectionS16/puzzle_1/student_27,VVIIFPOPEPOPTTTTSSRiTSTOROS,23,394,7,2,6,VVIIFPOPEPOPTTTTRTTORO
Puzzles/SelectionS16/puzzle_1/student_87,TTVVOIOIFPOPEOPPRRRS,19,138,3,3,2,TTVVOIOIFPOPEOPPRRR
Puzzles/SelectionS16/puzzle_1/student_73,VVIIFPOPEOTPTTTTSRRROOSPSRS,23,258,7,4,5,VVIIFPOPEOTPTTTTRRROOPR
Puzzles/SelectionS16/puzzle_1/student_168,VVOIOIFPOPEPOPTTS,16,223,0,0,2,VVOIOIFPOPEPOPTT
Puzzles/SelectionS16/puzzle_1/student_74,VVIIFPOOOPEPORPTTS,17,140,1,1,2,VVIIFPOOOPEPORPTT
Puzzles/SelectionS16/puzzle_1/student_150,VVIOOIFPOPEPOTTTSRPS,18,251,2,1,3,VVIOOIFPOPEPOTTTRP
Puzzles/SelectionS16/puzzle_1/student_42,VVOIOITFPOPEfRPOPRRSTS,20,172,4,3,2,VVOIOITFPOPERPOPRRT
Puzzles/SelectionS16/puzzle_1/student_89,ORRVVIOIFPOPEPOPRRTTS,20,168,4,4,2,ORRVVIOIFPOPEPOPRRTT
Puzzles/SelectionS16/puzzle_1/student_161,VVOIOIFPOPPEOPTTS,16,270,0,0,2,VVOIOIFPOPPEOPTT
Puzzles/SelectionS16/puzzle_1/student_195,VVOOIFPOPEPOPTITS,16,161,0,0,2,VVOOIFPOPEPOPTIT
Puzzles/SelectionS16/puzzle_1/student_45,VVOITOITFPOPEOPPTSTS,18,125,2,0,4,VVOITOITFPOPEOPPTT
Puzzles/SelectionS16/puzzle_1/student_19,VVIOIOFPOPEPOPTTS,16,88,0,0,2,VVIOIOFPOPEPOPTT
Puzzles/SelectionS16/puzzle_1/student_26,VVOIOIFPOPEPOPTTS,16,114,0,0,2,VVOIOIFPOPEPOPTT
Puzzles/SelectionS16/puzzle_1/student_102,VTVITIFPOPOOEPOPTS,17,279,1,0,3,VTVITIFPOPOOEPOPT
Puzzles/SelectionS16/puzzle_1/student_105,VVOIOIFPOPEPOPTTS,16,100,0,0,2,VVOIOIFPOPEPOPTT
Puzzles/SelectionS16/puzzle_1/student_21,VVOIOIRFPOPERPOPTTS,18,107,2,2,2,VVOIOIRFPOPERPOPTT
Puzzles/SelectionS16/puzzle_1/student_28,VVTOIOiFPOPPEROPTSITS,19,196,3,1,3,VVTOIOFPOPPEROPTIT
Puzzles/SelectionS16/puzzle_1/student_133,VVROIROIRFPOPEPOPTTS,19,123,3,3,2,VVROIROIRFPOPEPOPTT
Puzzles/SelectionS16/puzzle_1/student_17,VVIOTIOFPOTPEPOPS,16,116,0,0,2,VVIOTIOFPOTPEPOP
Puzzles/SelectionS16/puzzle_1/student_10,VVOIOIFPOPRREPOPTTS,18,326,2,2,2,VVOIOIFPOPRREPOPTT
Puzzles/SelectionS16/puzzle_1/student_134,VvRIITFPOPERPOPOOTSVRTS,21,398,5,3,3,VRIITFPOPERPOPOOTVRT
Puzzles/SelectionS16/puzzle_1/student_44,VVOITOITFPOPEOPPTSTS,18,125,2,0,4,VVOITOITFPOPEOPPTT
Puzzles/SelectionS16/puzzle_1/student_194,VVIOIOFPOEOPPPTTS,16,102,0,0,2,VVIOIOFPOEOPPPTT
Puzzles/SelectionS16/puzzle_1/student_160,VVOIOIFOPPEPOPTTS,16,560,0,0,2,VVOIOIFOPPEPOPTT
Puzzles/SelectionS16/puzzle_1/student_167,VVOIORRIFOEOPPPPTTSRS,19,282,3,3,2,VVOIORRIFOEOPPPPTTR
Puzzles/SelectionS16/puzzle_1/student_193,VVIIFOOOPEOPPPTTS,16,97,0,0,2,VVIIFOOOPEOPPPTT
Puzzles/SelectionS16/puzzle_1/student_43,VVTOTIOIFPOPREPOPRTRS,20,124,4,3,3,VVTOTIOIFPOPREPOPRTR
Puzzles/SelectionS16/puzzle_1/student_88,VVOOIOiOfPRRPEPRRPRRRTTSTISTFS,27,953,11,7,4,VVOOIOOPRRPEPRRPRRRTTTITF
Puzzles/SelectionS16/puzzle_1/student_158,VVOIOIFOEOPPPPTTSTSTSTSTS,20,144,4,0,6,VVOIOIFOEOPPPPTTTTTT
Puzzles/SelectionS16/puzzle_1/student_81,IRERIRRRVVFPOPRTPOPTOOS,22,325,6,6,2,IRERIRRRVVFPOPRTPOPTOO
Puzzles/SelectionS16/puzzle_1/student_75,VRVORIIFOOEPRPRoORTPRRRPSTSRSRSRRSSSSSSSSSSSSSRS,30,220,14,13,2,VRVORIIFOOEPRPRORTPRRRPTRRRRR
Puzzles/SelectionS16/puzzle_1/student_72,TVTVIIOOFPOPEPOPSRSRS,18,84,2,2,2,TVTVIIOOFPOPEPOPRR
Puzzles/SelectionS16/puzzle_1/student_86,VRTTTVIOOIFPORRRPPEOPS,21,142,5,4,3,VRTTTVIOOIFPORRRPPEOP
Puzzles/SelectionS16/puzzle_1/student_156,VVOIOIFPOPEOPTTTSPS,17,314,1,0,3,VVOIOIFPOPEOPTTTP
Puzzles/SelectionS16/puzzle_1/student_169,VRRVIIFPOOvRRTORPREPOPTS,23,223,7,6,2,VRRVIIFPOORRTORPREPOPT
Puzzles/SelectionS16/puzzle_1/student_4,VVTIOOIRFRPOPEPTOPSRS,19,109,3,3,2,VVTIOOIRFRPOPEPTOPR
Puzzles/SelectionS16/puzzle_1/student_203,VVIIFOEOOOPPPPTTS,16,184,0,0,2,VVIIFOEOOOPPPPTT
Puzzles/SelectionS16/puzzle_1/student_3,VIVTIFPOPEPOPTOOS,16,161,0,0,2,VIVTIFPOPEPOPTOO
Puzzles/SelectionS16/puzzle_1/student_2,VVOOIITFPPOEOPRTPSRS,18,142,2,2,2,VVOOIITFPPOEOPRTPR
Puzzles/SelectionS16/puzzle_1/student_5,VVOIROIFPOPEPOPTTS,17,159,1,1,2,VVOIROIFPOPEPOPTT
